num_artists,num_playlists,streams,bpm,bpm_category,scale,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,is_hyper_popular
3,3643,354065229,110,Low,Minor,86,31,53,43,0,11,6,False
1,1087,351636786,101,Low,Minor,72,91,87,14,0,13,3,False
1,2619,350381515,130,Medium,Major,63,49,73,5,0,9,3,False
2,2697,349746291,90,Low,Major,81,59,83,9,0,11,5,False
3,2235,349585590,109,Low,Major,60,45,47,62,0,31,5,False
1,2537,348647203,120,Medium,Major,69,40,39,41,0,13,6,False
1,2005,346127840,129,Medium,Major,42,33,44,62,0,8,6,False
1,1150,345903614,120,Medium,Major,81,92,90,9,0,8,7,False
1,2321,345031710,96,Low,Minor,74,61,83,11,0,35,6,False
2,105,34502215,145,Medium,Minor,54,19,48,36,0,37,5,False
1,203,34450974,148,Medium,Major,53,61,81,5,0,36,4,False
2,1195,344055883,103,Low,Minor,80,45,62,76,0,10,38,False
1,2711,343197054,160,Medium,Minor,61,65,64,1,0,12,4,False
1,2346,342897938,139,Medium,Major,74,68,68,3,0,26,4,False
1,2551,342779426,73,Low,Major,83,11,41,0,0,36,14,False
1,3711,339659802,93,Low,Minor,65,82,74,27,0,32,5,False
1,2226,339473453,126,Medium,Minor,67,37,46,13,0,10,39,False
1,3009,338564981,141,Medium,Minor,41,9,25,84,1,14,4,False
